epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2576,1.36953,1.60862,1.08243,0.68375,0.46183,0.52564,0.31228,1.173,0.96112,0.99714,0.00332571,0.00332571,0.00332571
2,85.3439,1.26477,1.09478,1.04588,0.68017,0.50022,0.56215,0.32108,1.20791,0.89518,1.00801,0.0066041,0.0066041,0.0066041
3,125.615,1.27401,1.01769,1.05335,0.72942,0.49621,0.56565,0.3218,1.21622,0.89335,1.03844,0.0098275,0.0098275,0.0098275
4,165.629,1.25993,0.95001,1.05396,0.72387,0.53165,0.58754,0.35182,1.15749,0.82823,1.02052,0.0097525,0.0097525,0.0097525
5,205.831,1.21845,0.86933,1.04378,0.74169,0.58911,0.64449,0.38457,1.11471,0.76213,1.00752,0.00967,0.00967,0.00967
6,245.744,1.1777,0.81932,1.02763,0.71517,0.58999,0.65605,0.39912,1.08877,0.73007,1.0017,0.0095875,0.0095875,0.0095875
7,285.822,1.16009,0.79459,1.02169,0.75433,0.59943,0.67054,0.40885,1.05158,0.70532,0.98948,0.009505,0.009505,0.009505
8,326.201,1.13284,0.76141,1.01387,0.81082,0.6137,0.70341,0.43063,1.0173,0.68404,0.97705,0.0094225,0.0094225,0.0094225
9,366.26,1.11299,0.74669,1.00685,0.77948,0.6123,0.68671,0.42457,0.99906,0.66513,0.9709,0.00934,0.00934,0.00934
10,405.785,1.09002,0.72503,0.99595,0.74094,0.62864,0.68832,0.43282,0.99488,0.67023,0.97169,0.0092575,0.0092575,0.0092575
11,445.61,1.06847,0.70527,0.99085,0.79046,0.65542,0.71698,0.44688,0.98803,0.64314,0.97046,0.009175,0.009175,0.009175
12,485.248,1.06196,0.69665,0.9877,0.77525,0.64664,0.7169,0.45568,0.97019,0.63366,0.95627,0.0090925,0.0090925,0.0090925
13,525.471,1.04837,0.68769,0.98154,0.77006,0.67711,0.73498,0.465,0.97113,0.62557,0.96453,0.00901,0.00901,0.00901
